id,ID1
715382,100420
132386,100576
502046,103068
601436,103919
180684,105858
710438,105987
713121,106263
123028,106504
169147,107134
169345,111889
102256,112754
711184,112877
121224,114182
187624,114863
103088,115072
123024,117158
720066,119712
172920,119928
707531,120856
193642,121124
187253,122893
702133,122933
144188,122949
201963,123834
703563,125421
119015,126566
126618,127807
152051,130929
184788,131114
152745,132410
164624,135120
143834,135302
301604,135722
191681,137505
700427,140407
714588,140565
105722,141756
711703,143159
715980,143905
175247,144943
300095,145612
146735,145904
404604,149520
202899,150664
706007,150749
132814,154879
507513,155869
703402,157172
407665,157855
132081,160209
718156,160682
306356,162407
702790,165455
125037,166623
710188,168536
160922,168631
303967,169131
708498,169359
709987,170867
136027,171434
507589,174048
152868,174379
504477,176755
191141,179074
178944,180757
721551,181310
711501,183460
132653,185521
307486,186281
115583,187060
718509,187545
184002,189127
157602,190618
188525,191137
191061,191452
154751,192514
719199,192726
186591,193838
185402,194015
706964,194986
128705,195171
714001,197022
713674,197459
406577,198310
506358,199668
186852,200379
180711,200693
147583,201926
704675,202690
124977,300954
300380,302930
401383,305387
138640,305759
151803,306290
191958,307338
106513,307566
721829,308260
702077,309699
170822,400062
705560,400487
191864,401793
700221,402623
171806,403227
605111,404769
111397,405312
154567,405501
501268,407001
309938,409132
138800,409301
170764,501449
113594,501761
600566,502110
719721,502536
157657,504661
186998,504925
181015,505308
188877,506355
169446,506829
189098,506945
604307,507086
707455,507249
134614,507456
135950,510063
501318,600970
119467,601485
139085,602000
124734,602385
158115,603386
310074,700052
705793,700530
189423,700590
503282,704883
703470,705725
194507,706088
152531,706167
185012,706363
153169,708020
505514,708637
722520,709957
186423,710221
307836,713824
186679,714291
700654,714489
177106,714929
134863,716340
708042,716457
105720,717052
721801,718690
721352,719096
174812,719367
709517,721117
132333,721646
600174,722336
135092,117656
408039,119190
150178,135517
177243,164855
307293,181843
704369,184252
403521,191237
714515,199198
601775,201279
718329,202150
307838,401646
405972,407417
180686,409083
714418,703125
721863,100834
710661,102302
193481,102405
115879,102802
402496,102854
124363,103041
138509,103427
712661,105022
190351,105363
174450,105403
186911,105495
193858,105512
715520,106816
194659,107977
702107,108078
700634,110438
136266,110787
709059,112428
718848,112948
192790,115263
709780,115764
702658,116080
169386,118378
718461,119257
190849,119499
164524,120169
185274,122148
106580,124306
700499,125165
704045,126785
192035,128159
118842,129564
167006,130982
167377,134482
603938,135158
153186,137878
601743,139485
704791,140936
713527,141430
191297,145815
718054,145839
704685,148047
145396,148356
504446,149111
506472,149488
201172,151274
712059,154012
700243,157175
718325,157219
172663,157525
185178,158928
186404,160414
113632,160630
147046,160974
135063,162040
500102,163964
508298,165777
115918,168464
102191,169607
189421,169699
131692,170909
169192,171010
308560,172084
135400,172301
600662,172599
708007,173532
167548,174531
193391,176717
304397,178385
712536,178413
505643,178857
715370,180330
718068,181683
605099,181975
139232,182936
703264,184456
702746,187464
716130,187476
194575,188170
704195,192584
704710,194004
132636,194128
700742,194648
504433,200062
300523,200293
706038,201921
202747,202086
149534,300268
301165,301446
176569,302011
150347,303745
127956,303995
711104,305897
101944,305945
114965,308205
169313,308438
400160,309200
124752,309319
149708,309608
702416,400539
156855,400679
709381,402793
185855,403445
309876,403825
700375,404064
700770,405724
180754,406471
194558,407922
189208,502413
201956,502791
710751,503048
713146,503401
704904,505070
134957,507474
186616,508503
717849,601018
400954,601873
702031,605149
301517,701111
143977,702345
717211,703240
710651,705102
132675,705967
186884,706154
715886,708382
406855,710417
195395,711912
722625,714745
186389,717555
134964,718949
408015,720439
722236,721963
195016,722423
136240,722519
160746,110260
706639,139807
712861,156739
307648,179978
507367,309732
188818,604780
700528,713189